filename;divider;enhancer;lowbandCompressor;lowbandImpulseNumber;lowbandSeparateExcitation;highbandCompressor;highbandImpulseNumber;highbandSeparateExcitation;PEAQ;PESQ
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;16;;-1.0821483836236703;4.411
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;32;;-0.9327803271698452;4.418
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;DummyCompressor;;;-0.4240799129357882;4.451
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;4;SepExc;-3.3175583377301684;2.720
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;8;SepExc;-3.1543607105814685;2.748
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;16;SepExc;-3.0740216946005546;2.761
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;32;SepExc;-3.0381422836985755;2.769
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;4;;-3.273650457084939;2.728
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;8;;-3.1966723888349145;2.749
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;16;;-3.1325352718852827;2.753
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;G7231Compressor;32;;-3.136682663304716;2.754
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;4;SepExc;DummyCompressor;;;-3.045693562768667;2.773
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;4;SepExc;-2.9158485807290875;3.273
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;8;SepExc;-2.5254852564553714;3.317
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;16;SepExc;-2.3290849523856085;3.334
